Slide Number,Topic,Subject,Title,Category,Filename
1,Course Framing,,Last Time,Review,
2,Course Framing,,Today's Agenda,Agenda,
3,How the Compiler Works,How the Compiler Works,How the Compiler Works,Section Divider,
4,How the Compiler Works,How the Compiler Works,"What happens when you press ""build""?",Opening Question,
5,How the Compiler Works,How the Compiler Works,The three stages,Enumerate,0201pipeline.png
6,How the Compiler Works,How the Compiler Works,Stage 1: Preprocessing,Connect,
7,How the Compiler Works,How the Compiler Works,Preprocessing directives,Connect,
8,How the Compiler Works,How the Compiler Works,Stage 2: Compilation,Connect,
9,How the Compiler Works,How the Compiler Works,What the compiler checks: syntax errors,Opening Question,
10,How the Compiler Works,How the Compiler Works,Translation units — for your general knowledge,Connect,
11,How the Compiler Works,How the Compiler Works,What the compiler checks: type errors,Opening Question,
12,How the Compiler Works,How the Compiler Works,What the compiler checks: scope and declaration errors,Opening Question,
13,How the Compiler Works,How the Compiler Works,Stage 3: Linking,Connect,
14,How the Compiler Works,How the Compiler Works,Translation units,Connect,
15,How the Compiler Works,How the Compiler Works,Translation units: code example,Connect,
16,How the Compiler Works,How the Compiler Works,What the compiler checks,Opening Question,
17,How the Compiler Works,How the Compiler Works,Reading error messages by stage,Error Example,
18,How the Compiler Works,How the Compiler Works,Reading error messages by stage,Error Example,error_by_stage.png
19,How the Compiler Works,How the Compiler Works,Static typing — a C++ strength,Connect,static_typing_strong.png
20,How the Compiler Works,How the Compiler Works,Summary,Summary,
21,The Symbol Table,The Symbol Table,The Symbol Table,Section Divider,
22,The Symbol Table,The Symbol Table,What problems does the compiler face tracking every identifier?,Opening Question,
23,The Symbol Table,The Symbol Table,What goes in the symbol table?,Opening Question,2-panel_symbol_table.png
24,The Symbol Table,The Symbol Table,How the compiler uses it,Opening Question,
25,The Symbol Table,The Symbol Table,Undeclared identifier error,Error Example,
26,The Symbol Table,The Symbol Table,Redeclaration error,Error Example,
27,The Symbol Table,The Symbol Table,Type mismatch error,Error Example,
28,The Symbol Table,The Symbol Table,Summary,Summary,
29,Data Type Conversion and Casting,Data Type Conversion and Casting,Data Type Conversion and Casting,Section Divider,
30,Data Type Conversion and Casting,Data Type Conversion and Casting,Type coercion — the compiler converts automatically,Connect,
31,Data Type Conversion and Casting,Data Type Conversion and Casting,Data type ranking,Connect,
32,Data Type Conversion and Casting,Data Type Conversion and Casting,Conversion Question,Opening Question,
33,Data Type Conversion and Casting,Data Type Conversion and Casting,Three rules of coercion,Enumerate,
34,Data Type Conversion and Casting,Data Type Conversion and Casting,Promotion — moving up,Connect,
35,Data Type Conversion and Casting,Data Type Conversion and Casting,Demotion — moving down,Connect,
36,Data Type Conversion and Casting,Data Type Conversion and Casting,The problem: integer division gives the wrong answer,Connect,
37,Data Type Conversion and Casting,Data Type Conversion and Casting,Integer Division Output,Demonstration,
38,Data Type Conversion and Casting,Data Type Conversion and Casting,The fix: cast one operand to double,Demonstration,
39,Data Type Conversion and Casting,Data Type Conversion and Casting,Type casting — you control the conversion,Demonstration,
40,Data Type Conversion and Casting,Data Type Conversion and Casting,Three cast forms,Enumerate,
41,Data Type Conversion and Casting,Data Type Conversion and Casting,`static_cast` — the C++ way,Demonstration,
42,Data Type Conversion and Casting,Data Type Conversion and Casting,C-style casts — avoid,Demonstration,
43,Data Type Conversion and Casting,Data Type Conversion and Casting,Functional Notation — Avoid,Connect,
44,Data Type Conversion and Casting,Data Type Conversion and Casting,Three conversion forms together,Demonstration,
45,Data Type Conversion and Casting,Data Type Conversion and Casting,When to cast and when not to,Opening Question,
46,Data Type Conversion and Casting,Data Type Conversion and Casting,Summary,Summary,
47,Signed vs Unsigned Variables,Signed vs Unsigned Variables,Signed vs Unsigned Variables,Section Divider,
48,Signed vs Unsigned Variables,Signed vs Unsigned Variables,How does a variable store negative numbers?,Opening Question,
49,Signed vs Unsigned Variables,Signed vs Unsigned Variables,Signed: the MSB is the sign bit,Connect,
50,Signed vs Unsigned Variables,Signed vs Unsigned Variables,Signed: the MSB is the sign bit,Connect,signedBit.jpg
51,Signed vs Unsigned Variables,Signed vs Unsigned Variables,Unsigned: all bits for magnitude,Connect,
52,Signed vs Unsigned Variables,Signed vs Unsigned Variables,When to use unsigned,Opening Question,
53,Signed vs Unsigned Variables,Signed vs Unsigned Variables,When to use signed,Opening Question,
54,Signed vs Unsigned Variables,Signed vs Unsigned Variables,Mixing signed and unsigned — the trap,Connect,
55,Signed vs Unsigned Variables,Signed vs Unsigned Variables,Overflow behavior differs,Demonstration,
56,Signed vs Unsigned Variables,Signed vs Unsigned Variables,Enabling sign-comparison warnings,Connect,
57,Signed vs Unsigned Variables,Signed vs Unsigned Variables,Summary,Summary,
58,Overflow and Underflow,Overflow and Underflow,Overflow and Underflow,Section Divider,
59,Overflow and Underflow,Overflow and Underflow,What happens when a value exceeds its type's range?,Opening Question,
60,Overflow and Underflow,Overflow and Underflow,Signed overflow — undefined behavior,Demonstration,
61,Overflow and Underflow,Overflow and Underflow,Unsigned overflow — well-defined wrapping,Demonstration,
62,Overflow and Underflow,Overflow and Underflow,<Interactive signed_unsigned_overflow_viz.html/>,Demonstration,signed_unsigned_overflow_viz.html
63,Overflow and Underflow,Overflow and Underflow,`numeric_limits` — querying type boundaries,Connect,
64,Overflow and Underflow,Overflow and Underflow,Worked example: short overflow,Demonstration,
65,Overflow and Underflow,Overflow and Underflow,Worked example: unsigned underflow,Demonstration,
66,Overflow and Underflow,Overflow and Underflow,<Interactive unsigned_underflow_viz.html/>,Demonstration,unsigned_underflow_viz.html
67,Overflow and Underflow,Overflow and Underflow,Worked example: INT_MAX + 1,Demonstration,
68,Overflow and Underflow,Overflow and Underflow,Floating point underflow,Demonstration,
69,Overflow and Underflow,Overflow and Underflow,Detecting overflow before it happens,Demonstration,
70,Overflow and Underflow,Overflow and Underflow,What to do in practice,Opening Question,
71,Overflow and Underflow,Overflow and Underflow,The compiler will not save you,Connect,
72,Overflow and Underflow,Overflow and Underflow,Summary,Summary,
