Slide Number,Topic,Subject,Title,Category,Filename
1,Course Framing,,Last Time,Review,
2,Course Framing,,Today's Agenda,Agenda,
3,Course Framing,Exercise Review,Code from Last Class,Section Divider,
4,Course Framing,Exercise Review,Programming Activity Summary,Summary,
5,Course Framing,Exercise Review,<Code Display>,Code,x0301a.cpp
6,Course Framing,,Code and Output,Code,x0301a.cpp x0301aOut.png
7,Vectors,Vectors,Vectors,Section Divider,
8,Vectors,Vectors,"One Variable, Many Values",Opening Question,
9,Vectors,Vectors,The Problem,Opening Question,
10,Vectors,Vectors,Why This Is a Data Structure,Define,
11,Vectors,Vectors,A Vector IPO Model,Model,
12,Vectors,Vectors,Declaring a Vector,Demonstration,
13,Vectors,Vectors,Initializing a Vector,Demonstration,
14,Vectors,Vectors,Vector Order Picture,Model,
15,Vectors,Vectors,Summary,Summary,
16,Vector Operations,Vector Operations,Vector Operations,Section Divider,
17,Vector Operations,Vector Operations,Changing a Vector,Opening Question,
18,Vector Operations,Vector Operations,push_back Adds a Value,Demonstration,
19,Vector Operations,Vector Operations,Execution Trace: push_back,Trace,
20,Vector Operations,Vector Operations,pop_back Removes the Last Value,Demonstration,
21,Vector Operations,Vector Operations,Interactive Vector Changes,Demonstration,
22,Vector Operations,Vector Operations,size Reports the Count,Define,
23,Vector Operations,Vector Operations,Save Before Removing,Before/After,
24,Vector Operations,Vector Operations,Example 1: Daily Temperatures IPO,Model,
25,Vector Operations,Vector Operations,Example 1: Daily Temperatures Code,Complete Example,
26,Vector Operations,Vector Operations,Example 1: Execution Trace,Trace,
27,Vector Operations,Vector Operations,Example 2: Loading Scalar Variables,Connect,
28,Vector Operations,Vector Operations,Example 3: Storing Formula Results,Demonstration,
29,Vector Operations,Vector Operations,Operation Summary Table,Enumerate,
30,Vector Operations,Vector Operations,Common Practices,Common Practice,
31,Vector Operations,Vector Operations,Summary,Summary,
32,Range-Based For Loops,Range-Based For Loops,Range-Based For Loops,Section Divider,
33,Range-Based For Loops,Range-Based For Loops,When Every Value Matters,Opening Question,
34,Range-Based For Loops,Range-Based For Loops,The Range-Based For Loop,Define,
35,Range-Based For Loops,Range-Based For Loops,Read It Like English,Connect,
36,Range-Based For Loops,Range-Based For Loops,Display Every Value,Demonstration,
37,Range-Based For Loops,Range-Based For Loops,Execution Trace: For Each,Trace,
38,Range-Based For Loops,Range-Based For Loops,The Loop Variable Is a Copy,Contrast,
39,Range-Based For Loops,Range-Based For Loops,One Value Per Trip,Trace,
40,Range-Based For Loops,Range-Based For Loops,Example: Print a Shopping List,Complete Example,
41,Range-Based For Loops,Range-Based For Loops,Loop Body Scope,Define,
42,Range-Based For Loops,Range-Based For Loops,Common Practices,Common Practice,
43,Range-Based For Loops,Range-Based For Loops,Summary,Summary,
44,Course Wrap-Up,,Key Takeaways,Summary,
45,Course Wrap-Up,,Next Time,Progression Map,
46,Appendix,,Appendix,Section Divider,
47,Vectors,Vectors,Vectors: Good Practices,Appendix - Good Practices,
48,Vectors,Vectors,Vectors: Common Mistakes,Appendix - Common Mistakes,
49,Vectors,Vectors,Vectors: More Examples,Appendix - More Examples,
50,Vectors,Vectors,Vectors: Practice Problems,Appendix - Practice,
51,Vectors,Vectors,Vectors: AI Search Terms,Appendix - AI Search Terms,
52,Vectors,Vectors,Vectors: Questions for Reflection,Appendix - Reflection,
53,Vector Operations,Vector Operations,Vector Operations: Good Practices,Appendix - Good Practices,
54,Vector Operations,Vector Operations,Vector Operations: Common Mistakes,Appendix - Common Mistakes,
55,Vector Operations,Vector Operations,Vector Operations: More Examples,Appendix - More Examples,
56,Vector Operations,Vector Operations,Vector Operations: Practice Problems,Appendix - Practice,
57,Vector Operations,Vector Operations,Vector Operations: AI Search Terms,Appendix - AI Search Terms,
58,Vector Operations,Vector Operations,Vector Operations: Questions for Reflection,Appendix - Reflection,
59,Range-Based For Loops,Range-Based For Loops,Range-Based For Loops: Good Practices,Appendix - Good Practices,
60,Range-Based For Loops,Range-Based For Loops,Range-Based For Loops: Common Mistakes,Appendix - Common Mistakes,
61,Range-Based For Loops,Range-Based For Loops,Range-Based For Loops: More Examples,Appendix - More Examples,
62,Range-Based For Loops,Range-Based For Loops,Range-Based For Loops: Practice Problems,Appendix - Practice,
63,Range-Based For Loops,Range-Based For Loops,Range-Based For Loops: AI Search Terms,Appendix - AI Search Terms,
64,Range-Based For Loops,Range-Based For Loops,Range-Based For Loops: Questions for Reflection,Appendix - Reflection,
