Slide Number,Topic,Subject,Title,Category,Filename
1,Course Framing,,Last Time,Review,
2,Course Framing,,Today's Agenda,Agenda,
3,cout,cout,cout,Section Divider,
4,cout,cout,Output as a Conversation,Opening Question,
5,cout,cout,The Output Stream,Demonstration,
6,cout,cout,Text and Values,Connect,
7,cout,cout,Chaining Output,Demonstration,
8,cout,cout,Several cout Statements,Connect,
9,cout,cout,Line Breaks,Demonstration,
10,cout,cout,Complete Example,Complete Example,
11,cout,cout,Complete Example Output,Demonstration,
12,cout,cout,Summary,Summary,
13,cin,cin,cin,Section Divider,
14,cin,cin,Input as a Conversation,Opening Question,
15,cin,cin,The Input Stream,Demonstration,
16,cin,cin,Prompt Then Read,Demonstration,
17,cin,cin,Matching Types,Demonstration,
18,cin,cin,Reading Multiple Values,Demonstration,
19,cin,cin,Whitespace Behavior,Connect,
20,cin,cin,When cin Fails,Opening Question,
21,cin,cin,Complete Example,Complete Example,
22,cin,cin,Complete Example Output,Demonstration,
23,cin,cin,Summary,Summary,
24,Output Manipulators,Output Manipulators,Output Manipulators,Section Divider,
25,Output Manipulators,Output Manipulators,Controlling the Shape of Output,Demonstration,
26,Output Manipulators,Output Manipulators,The iomanip Header,Demonstration,
27,Output Manipulators,Output Manipulators,Manipulators for Today,Enumerate,
28,Output Manipulators,Output Manipulators,setw,Connect,
29,Output Manipulators,Output Manipulators,Alignment,Demonstration,
30,Output Manipulators,Output Manipulators,Alignment Output,Demonstration,
31,Output Manipulators,Output Manipulators,fixed and setprecision,Connect,
32,Output Manipulators,Output Manipulators,fixed and setprecision Output,Demonstration,020229.png
33,Output Manipulators,Output Manipulators,Sticky and One-Time Settings,Demonstration,
34,Output Manipulators,Output Manipulators,Sticky Settings Output,Demonstration,
35,Output Manipulators,Output Manipulators,Complete Example,Complete Example,
36,Output Manipulators,Output Manipulators,Complete Example Output,Demonstration,
37,Output Manipulators,Output Manipulators,Other Useful Manipulators,Connect,
38,Output Manipulators,Output Manipulators,Summary,Summary,
39,Terminal Color Codes,Terminal Color Codes,Terminal Color Codes,Section Divider,
40,Terminal Color Codes,Terminal Color Codes,Output With Emphasis,Demonstration,
41,Terminal Color Codes,Terminal Color Codes,ANSI Escape Codes,Connect,
42,Terminal Color Codes,Terminal Color Codes,Color Code Pattern,Connect,
43,Terminal Color Codes,Terminal Color Codes,Common Foreground Colors,Demonstration,
44,Terminal Color Codes,Terminal Color Codes,Always Reset,Boundary,
45,Terminal Color Codes,Terminal Color Codes,Store Colors as Constants,Demonstration,
46,Terminal Color Codes,Terminal Color Codes,Meaningful Colors,Demonstration,
47,Terminal Color Codes,Terminal Color Codes,Complete Example,Complete Example,
48,Terminal Color Codes,Terminal Color Codes,Terminal Color Output,Demonstration,020240.png
49,Terminal Color Codes,Terminal Color Codes,Summary,Summary,
50,Table Architectures,Table Architectures,Table Architectures,Section Divider,
51,Table Architectures,Table Architectures,Output Students Can Scan,Demonstration,
52,Table Architectures,Table Architectures,What Makes a Table,Opening Question,
53,Table Architectures,Table Architectures,Choose Column Widths,Decision Point,
54,Table Architectures,Table Architectures,Align by Data Type,Connect,
55,Table Architectures,Table Architectures,Header and Rows,Demonstration,
56,Table Architectures,Table Architectures,Separator Lines,Demonstration,
57,Table Architectures,Table Architectures,Choose the Table Architecture,Decision Point,
58,Table Architectures,Table Architectures,Fixed-Width Table with Borders,Demonstration,tables_fixed_width_borders.png
59,Table Architectures,Table Architectures,Coding a Fixed-Width Table,Demonstration,
60,Table Architectures,Table Architectures,Hexadecimal and Octal Table,Demonstration,tables_hex_octal.png
61,Table Architectures,Table Architectures,Coding a Hexadecimal and Octal Table,Demonstration,
62,Table Architectures,Table Architectures,Cash Table with Negative Numbers,Demonstration,tables_cash_negative.png
63,Table Architectures,Table Architectures,Coding a Cash Table with Negative Numbers,Demonstration,
64,Table Architectures,Table Architectures,Scientific Notation Table,Demonstration,tables_scientific.png
65,Table Architectures,Table Architectures,Coding a Scientific Notation Table,Demonstration,
66,Table Architectures,Table Architectures,Complete Example,Complete Example,
67,Table Architectures,Table Architectures,Complete Example - Output,Demonstration,020256.png
68,Table Architectures,Table Architectures,Summary,Summary,
69,Course Wrap-Up,,Key Takeaways,Summary,
70,Course Wrap-Up,,Next Time,Progression Map,
71,Appendix,,Appendix,Section Divider,
72,cout,cout,cout: Good Practices,Appendix - Good Practices,
73,cout,cout,cout: Common Mistakes,Appendix - Common Mistakes,
74,cout,cout,cout: More Examples,Appendix - More Examples,
75,cout,cout,cout: Practice Problems,Appendix - Practice,
76,cout,cout,cout: AI Search Terms,Appendix - AI Search Terms,
77,cout,cout,cout: Questions for Reflection,Appendix - Reflection,
78,cin,cin,cin: Good Practices,Appendix - Good Practices,
79,cin,cin,cin: Common Mistakes,Appendix - Common Mistakes,
80,cin,cin,cin: More Examples,Appendix - More Examples,
81,cin,cin,cin: Practice Problems,Appendix - Practice,
82,cin,cin,cin: AI Search Terms,Appendix - AI Search Terms,
83,cin,cin,cin: Questions for Reflection,Appendix - Reflection,
84,Output Manipulators,Output Manipulators,Output Manipulators: Good Practices,Appendix - Good Practices,
85,Output Manipulators,Output Manipulators,Output Manipulators: Common Mistakes,Appendix - Common Mistakes,
86,Output Manipulators,Output Manipulators,Output Manipulators: More Examples,Appendix - More Examples,
87,Output Manipulators,Output Manipulators,Output Manipulators: Practice Problems,Appendix - Practice,
88,Output Manipulators,Output Manipulators,Output Manipulators: AI Search Terms,Appendix - AI Search Terms,
89,Output Manipulators,Output Manipulators,Output Manipulators: Questions for Reflection,Appendix - Reflection,
90,Terminal Color Codes,Terminal Color Codes,Terminal Color Codes: Good Practices,Appendix - Good Practices,
91,Terminal Color Codes,Terminal Color Codes,Terminal Color Codes: Common Mistakes,Appendix - Common Mistakes,
92,Terminal Color Codes,Terminal Color Codes,Terminal Color Codes: More Examples,Appendix - More Examples,
93,Terminal Color Codes,Terminal Color Codes,Terminal Color Codes: Practice Problems,Appendix - Practice,
94,Terminal Color Codes,Terminal Color Codes,Terminal Color Codes: AI Search Terms,Appendix - AI Search Terms,
